Código;Descripción;Categoría;Nombre de Archivo;URL Sin Fondo;URL Con Fondo
100000;Quisqueya_Extra_Caja_24_2;BEBIDAS;100000_Quisqueya_Extra_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100000_Quisqueya_Extra_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100000_Quisqueya_Extra_Caja_24_2.png
100001;Quisqueya_Extra_Six_pack_24_2;BEBIDAS;100001_Quisqueya_Extra_Six_pack_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100001_Quisqueya_Extra_Six_pack_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100001_Quisqueya_Extra_Six_pack_24_2.png
100004;Malta_India_litro_Caja_12_1;BEBIDAS;100004_Malta_India_litro_Caja_12_1.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100004_Malta_India_litro_Caja_12_1.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100004_Malta_India_litro_Caja_12_1.png
100005;Malta_India_12_onzas_Caja_24_2;BEBIDAS;100005_Malta_India_12_onzas_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100005_Malta_India_12_onzas_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100005_Malta_India_12_onzas_Caja_24_2.png
100006;Malta_India_12_onzas_Six_pack_24_2;BEBIDAS;100006_Malta_India_12_onzas_Six_pack_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100006_Malta_India_12_onzas_Six_pack_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100006_Malta_India_12_onzas_Six_pack_24_2.png
100011;Malta_India_12_onzas_PET_24_unidades;BEBIDAS;100011_Malta_India_12_onzas_PET_24_unidades.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100011_Malta_India_12_onzas_PET_24_unidades.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100011_Malta_India_12_onzas_PET_24_unidades.png
100013;Malta_India_7_onzas_Caja_24_3;BEBIDAS;100013_Malta_India_7_onzas_Caja_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100013_Malta_India_7_onzas_Caja_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100013_Malta_India_7_onzas_Caja_24_3.png
100014;Malta_India_7_onzas_Six_pack_24_3;BEBIDAS;100014_Malta_India_7_onzas_Six_pack_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100014_Malta_India_7_onzas_Six_pack_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100014_Malta_India_7_onzas_Six_pack_24_3.png
100017;Malta_India_8_onzas_PET_24_unidades;BEBIDAS;100017_Malta_India_8_onzas_PET_24_unidades.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100017_Malta_India_8_onzas_PET_24_unidades.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100017_Malta_India_8_onzas_PET_24_unidades.png
100022;Malta_India_medio_litro_PET_medio_litro;BEBIDAS;100022_Malta_India_medio_litro_PET_medio_litro.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100022_Malta_India_medio_litro_PET_medio_litro.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100022_Malta_India_medio_litro_PET_medio_litro.png
100028;Tiegerbrau_Caja_24_2;BEBIDAS;100028_Tiegerbrau_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100028_Tiegerbrau_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100028_Tiegerbrau_Caja_24_2.png
100030;Tiegerbrau_Four_pack_16_2;BEBIDAS;100030_Tiegerbrau_Four_pack_16_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100030_Tiegerbrau_Four_pack_16_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100030_Tiegerbrau_Four_pack_16_2.png
100040;Mabi_Areito_Caja_24_2;BEBIDAS;100040_Mabi_Areito_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100040_Mabi_Areito_Caja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100040_Mabi_Areito_Caja_24_2.png
100041;Mabi_Areito_Six_pack_24_2;BEBIDAS;100041_Mabi_Areito_Six_pack_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100041_Mabi_Areito_Six_pack_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100041_Mabi_Areito_Six_pack_24_2.png
100045;Agua_Fontina_Agua_Fontina;BEBIDAS;100045_Agua_Fontina_Agua_Fontina.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100045_Agua_Fontina_Agua_Fontina.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100045_Agua_Fontina_Agua_Fontina.png
100056;Malta_India_litro_Bandeja_12_1;BEBIDAS;100056_Malta_India_litro_Bandeja_12_1.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100056_Malta_India_litro_Bandeja_12_1.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100056_Malta_India_litro_Bandeja_12_1.png
100061;Quisqueya_Extra_Bandeja_24_2;BEBIDAS;100061_Quisqueya_Extra_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100061_Quisqueya_Extra_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100061_Quisqueya_Extra_Bandeja_24_2.png
100062;Mabi_Areito_Bandeja_24_2;BEBIDAS;100062_Mabi_Areito_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100062_Mabi_Areito_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100062_Mabi_Areito_Bandeja_24_2.png
100063;Malta_India_7_onzas_Bandeja_24_3;BEBIDAS;100063_Malta_India_7_onzas_Bandeja_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100063_Malta_India_7_onzas_Bandeja_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100063_Malta_India_7_onzas_Bandeja_24_3.png
100064;Tiegerbrau_Bandeja_24_2;BEBIDAS;100064_Tiegerbrau_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100064_Tiegerbrau_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100064_Tiegerbrau_Bandeja_24_2.png
100065;Malta_India_12_onzas_Bandeja_24_2;BEBIDAS;100065_Malta_India_12_onzas_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100065_Malta_India_12_onzas_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100065_Malta_India_12_onzas_Bandeja_24_2.png
